RFM,Segment
213,About to sleep
221,About to sleep
312,About to sleep
321,About to sleep
331,About to sleep
124,At risk
125,At risk
133,At risk
134,At risk
135,At risk
142,At risk
143,At risk
145,At risk
152,At risk
153,At risk
224,At risk
225,At risk
234,At risk
235,At risk
242,At risk
243,At risk
244,At risk
245,At risk
252,At risk
253,At risk
254,At risk
255,At risk
113,Can’t lose them
114,Can’t lose them
115,Can’t lose them
144,Can’t lose them
154,Can’t lose them
155,Can’t lose them
214,Can’t lose them
215,Can’t lose them
445,Champions
454,Champions
455,Champions
544,Champions
545,Champions
554,Champions
555,Champions
324,Customers needing attention
325,Customers needing attention
334,Customers needing attention
343,Customers needing attention
434,Customers needing attention
443,Customers needing attention
534,Customers needing attention
535,Customers needing attention
122,Hibernating
123,Hibernating
132,Hibernating
211,Hibernating
212,Hibernating
222,Hibernating
223,Hibernating
231,Hibernating
232,Hibernating
233,Hibernating
241,Hibernating
251,Hibernating
322,Hibernating
332,Hibernating
111,Lost
112,Lost
121,Lost
131,Lost
141,Lost
151,Lost
335,Loyal customers
344,Loyal customers
345,Loyal customers
354,Loyal customers
355,Loyal customers
435,Loyal customers
444,Loyal customers
543,Loyal customers
323,Potential loyalist
333,Potential loyalist
341,Potential loyalist
342,Potential loyalist
351,Potential loyalist
352,Potential loyalist
353,Potential loyalist
423,Potential loyalist
431,Potential loyalist
432,Potential loyalist
433,Potential loyalist
441,Potential loyalist
442,Potential loyalist
451,Potential loyalist
452,Potential loyalist
453,Potential loyalist
531,Potential loyalist
532,Potential loyalist
533,Potential loyalist
541,Potential loyalist
542,Potential loyalist
551,Potential loyalist
552,Potential loyalist
553,Potential loyalist
313,Promising
314,Promising
315,Promising
413,Promising
414,Promising
415,Promising
424,Promising
425,Promising
513,Promising
514,Promising
515,Promising
521,Promising
522,Promising
523,Promising
524,Promising
525,Promising
311,Recent customers
411,Recent customers
412,Recent customers
421,Recent customers
422,Recent customers
511,Recent customers
512,Recent customers
